,type,Month,number,year,quarter
191,Petrol,2012 Q3,2070000,2012, Q3
192,Diesel,2012 Q2,832500,2012, Q2
193,Petrol-Electric,2012 Q2,23700,2012, Q2
194,Other,2012 Q2,13700,2012, Q2
195,Petrol,2012 Q2,2082100,2012, Q2
196,Diesel,2012 Q1,814700,2012, Q1
197,Petrol-Electric,2012 Q1,22500,2012, Q1
198,Other,2012 Q1,13600,2012, Q1
199,Petrol,2012 Q1,2091800,2012, Q1
200,Diesel,2011 Q4,801300,2011, Q4
201,Petrol-Electric,2011 Q4,21300,2011, Q4
202,Other,2011 Q4,13800,2011, Q4
203,Petrol,2011 Q4,2106200,2011, Q4
204,Diesel,2011 Q3,802300,2011, Q3
205,Petrol-Electric,2011 Q3,20300,2011, Q3
206,Other,2011 Q3,13900,2011, Q3
207,Petrol,2011 Q3,2131700,2011, Q3
208,Diesel,2011 Q2,797700,2011, Q2
209,Petrol-Electric,2011 Q2,19300,2011, Q2
210,Other,2011 Q2,13900,2011, Q2
211,Petrol,2011 Q2,2150600,2011, Q2
212,Diesel,2011 Q1,778400,2011, Q1
213,Petrol-Electric,2011 Q1,18500,2011, Q1
214,Other,2011 Q1,14200,2011, Q1
215,Petrol,2011 Q1,2160000,2011, Q1
216,Diesel,2010 Q4,763400,2010, Q4
217,Petrol-Electric,2010 Q4,17600,2010, Q4
218,Other,2010 Q4,14100,2010, Q4
219,Petrol,2010 Q4,2172300,2010, Q4
220,Diesel,2010 Q3,757200,2010, Q3
221,Petrol-Electric,2010 Q3,16700,2010, Q3
222,Other,2010 Q3,14100,2010, Q3
223,Petrol,2010 Q3,2203500,2010, Q3
224,Diesel,2010 Q2,747500,2010, Q2
225,Petrol-Electric,2010 Q2,15600,2010, Q2
226,Other,2010 Q2,13900,2010, Q2
227,Petrol,2010 Q2,2213200,2010, Q2
228,Diesel,2010 Q1,729900,2010, Q1
229,Petrol-Electric,2010 Q1,14500,2010, Q1
230,Other,2010 Q1,13600,2010, Q1
231,Petrol,2010 Q1,2211200,2010, Q1
232,Diesel,2009 Q4,716700,2009, Q4
233,Petrol-Electric,2009 Q4,13500,2009, Q4
234,Other,2009 Q4,13600,2009, Q4
235,Petrol,2009 Q4,2227700,2009, Q4
0,Electric,2024 Q2,128463,2024, Q2
1,Diesel-Electric (Plug-In),2024 Q2,1534,2024, Q2
2,Petrol-Electric (Plug-In),2024 Q2,67240,2024, Q2
3,Electric,2024 Q2,7779,2024, Q2
4,Electric,2024 Q1,120494,2024, Q1
5,Diesel-Electric (Plug-In),2024 Q1,1405,2024, Q1
6,Petrol-Electric (Plug-In),2024 Q1,62901,2024, Q1
7,Electric,2024 Q1,7611,2024, Q1
8,Electric,2023 Q4,112051,2023, Q4
9,Diesel-Electric (Plug-In),2023 Q4,1305,2023, Q4
10,Petrol-Electric (Plug-In),2023 Q4,58666,2023, Q4
11,Electric,2023 Q4,7322,2023, Q4
12,Electric,2023 Q3,104014,2023, Q3
13,Diesel-Electric (Plug-In),2023 Q3,1238,2023, Q3
14,Petrol-Electric (Plug-In),2023 Q3,54873,2023, Q3
15,Electric,2023 Q3,6979,2023, Q3
16,Electric,2023 Q2,94770,2023, Q2
17,Diesel-Electric (Plug-In),2023 Q2,1146,2023, Q2
18,Petrol-Electric (Plug-In),2023 Q2,50609,2023, Q2
19,Electric,2023 Q2,6686,2023, Q2
20,Electric,2023 Q1,84833,2023, Q1
21,Diesel-Electric (Plug-In),2023 Q1,1082,2023, Q1
22,Petrol-Electric (Plug-In),2023 Q1,46707,2023, Q1
23,Electric,2023 Q1,6458,2023, Q1
24,Electric,2022 Q4,75595,2022, Q4
25,Diesel-Electric (Plug-In),2022 Q4,1024,2022, Q4
26,Petrol-Electric (Plug-In),2022 Q4,43529,2022, Q4
27,Electric,2022 Q4,6258,2022, Q4
28,Electric,2022 Q3,66276,2022, Q3
29,Diesel-Electric (Plug-In),2022 Q3,972,2022, Q3
30,Petrol-Electric (Plug-In),2022 Q3,41534,2022, Q3
31,Electric,2022 Q3,5952,2022, Q3
32,Electric,2022 Q2,60481,2022, Q2
33,Diesel-Electric (Plug-In),2022 Q2,932,2022, Q2
34,Petrol-Electric (Plug-In),2022 Q2,40042,2022, Q2
35,Electric,2022 Q2,5661,2022, Q2
36,Electric,2022 Q1,55242,2022, Q1
37,Diesel-Electric (Plug-In),2022 Q1,856,2022, Q1
38,Petrol-Electric (Plug-In),2022 Q1,37829,2022, Q1
39,Electric,2022 Q1,5475,2022, Q1
40,Electric,2021 Q4,47587,2021, Q4
41,Diesel-Electric (Plug-In),2021 Q4,781,2021, Q4
42,Petrol-Electric (Plug-In),2021 Q4,35627,2021, Q4
43,Electric,2021 Q4,5193,2021, Q4
44,Electric,2021 Q3,39847,2021, Q3
45,Diesel-Electric (Plug-In),2021 Q3,657,2021, Q3
46,Petrol-Electric (Plug-In),2021 Q3,33608,2021, Q3
47,Electric,2021 Q3,4913,2021, Q3
48,Electric,2021 Q2,33189,2021, Q2
49,Diesel-Electric (Plug-In),2021 Q2,602,2021, Q2
50,Petrol-Electric (Plug-In),2021 Q2,30783,2021, Q2
51,Electric,2021 Q2,4641,2021, Q2
52,Electric,2021 Q1,28166,2021, Q1
53,Diesel-Electric (Plug-In),2021 Q1,532,2021, Q1
54,Petrol-Electric (Plug-In),2021 Q1,27776,2021, Q1
55,Electric,2021 Q1,4401,2021, Q1
56,Electric,2020 Q4,24787,2020, Q4
57,Diesel-Electric (Plug-In),2020 Q4,465,2020, Q4
58,Petrol-Electric (Plug-In),2020 Q4,25521,2020, Q4
59,Electric,2020 Q4,4303,2020, Q4
60,Electric,2020 Q3,21100,2020, Q3
61,Diesel-Electric (Plug-In),2020 Q3,420,2020, Q3
62,Petrol-Electric (Plug-In),2020 Q3,23483,2020, Q3
63,Electric,2020 Q3,4084,2020, Q3
64,Electric,2020 Q2,17062,2020, Q2
65,Diesel-Electric (Plug-In),2020 Q2,356,2020, Q2
66,Petrol-Electric (Plug-In),2020 Q2,20516,2020, Q2
67,Electric,2020 Q2,3751,2020, Q2
68,Electric,2020 Q1,15969,2020, Q1
69,Diesel-Electric (Plug-In),2020 Q1,351,2020, Q1
70,Petrol-Electric (Plug-In),2020 Q1,19469,2020, Q1
71,Electric,2020 Q1,3773,2020, Q1
72,Electric,2019 Q4,14596,2019, Q4
73,Diesel-Electric (Plug-In),2019 Q4,300,2019, Q4
74,Petrol-Electric (Plug-In),2019 Q4,17916,2019, Q4
75,Electric,2019 Q4,3573,2019, Q4
76,Electric,2019 Q3,13055,2019, Q3
77,Diesel-Electric (Plug-In),2019 Q3,246,2019, Q3
78,Petrol-Electric (Plug-In),2019 Q3,15759,2019, Q3
79,Electric,2019 Q3,3181,2019, Q3
80,Electric,2019 Q2,11200,2019, Q2
81,Diesel-Electric (Plug-In),2019 Q2,202,2019, Q2
82,Petrol-Electric (Plug-In),2019 Q2,14096,2019, Q2
83,Electric,2019 Q2,2761,2019, Q2
84,Electric,2019 Q1,10369,2019, Q1
85,Diesel-Electric (Plug-In),2019 Q1,182,2019, Q1
86,Petrol-Electric (Plug-In),2019 Q1,12852,2019, Q1
87,Electric,2019 Q1,2367,2019, Q1
88,Electric,2018 Q4,9407,2018, Q4
89,Diesel-Electric (Plug-In),2018 Q4,166,2018, Q4
90,Petrol-Electric (Plug-In),2018 Q4,10837,2018, Q4
91,Electric,2018 Q4,2029,2018, Q4
92,Electric,2018 Q3,8614,2018, Q3
93,Diesel-Electric (Plug-In),2018 Q3,161,2018, Q3
94,Petrol-Electric (Plug-In),2018 Q3,9576,2018, Q3
95,Electric,2018 Q3,1609,2018, Q3
96,Electric,2018 Q2,8088,2018, Q2
97,Diesel-Electric (Plug-In),2018 Q2,153,2018, Q2
98,Petrol-Electric (Plug-In),2018 Q2,8359,2018, Q2
99,Electric,2018 Q2,1333,2018, Q2
100,Electric,2018 Q1,7564,2018, Q1
101,Diesel-Electric (Plug-In),2018 Q1,149,2018, Q1
102,Petrol-Electric (Plug-In),2018 Q1,7235,2018, Q1
103,Electric,2018 Q1,1097,2018, Q1
104,Electric,2017 Q4,7207,2017, Q4
105,Diesel-Electric (Plug-In),2017 Q4,138,2017, Q4
106,Petrol-Electric (Plug-In),2017 Q4,6379,2017, Q4
107,Electric,2017 Q4,966,2017, Q4
108,Electric,2017 Q3,6875,2017, Q3
109,Diesel-Electric (Plug-In),2017 Q3,114,2017, Q3
110,Petrol-Electric (Plug-In),2017 Q3,5610,2017, Q3
111,Electric,2017 Q3,916,2017, Q3
112,Electric,2017 Q2,6185,2017, Q2
113,Diesel-Electric (Plug-In),2017 Q2,100,2017, Q2
114,Petrol-Electric (Plug-In),2017 Q2,5065,2017, Q2
115,Electric,2017 Q2,855,2017, Q2
116,Electric,2017 Q1,5724,2017, Q1
117,Diesel-Electric (Plug-In),2017 Q1,66,2017, Q1
118,Petrol-Electric (Plug-In),2017 Q1,4259,2017, Q1
119,Electric,2017 Q1,781,2017, Q1
120,Electric,2016 Q4,5120,2016, Q4
121,Diesel-Electric (Plug-In),2016 Q4,57,2016, Q4
122,Petrol-Electric (Plug-In),2016 Q4,3478,2016, Q4
123,Electric,2016 Q4,691,2016, Q4
124,Electric,2016 Q3,4749,2016, Q3
125,Diesel-Electric (Plug-In),2016 Q3,52,2016, Q3
126,Petrol-Electric (Plug-In),2016 Q3,3027,2016, Q3
127,Electric,2016 Q3,630,2016, Q3
128,Electric,2016 Q2,4413,2016, Q2
129,Diesel-Electric (Plug-In),2016 Q2,38,2016, Q2
130,Petrol-Electric (Plug-In),2016 Q2,2665,2016, Q2
131,Electric,2016 Q2,577,2016, Q2
132,Electric,2016 Q1,4243,2016, Q1
133,Diesel-Electric (Plug-In),2016 Q1,32,2016, Q1
134,Petrol-Electric (Plug-In),2016 Q1,2211,2016, Q1
135,Electric,2016 Q1,521,2016, Q1
136,Electric,2015 Q4,3866,2015, Q4
137,Diesel-Electric (Plug-In),2015 Q4,31,2015, Q4
138,Petrol-Electric (Plug-In),2015 Q4,1680,2015, Q4
139,Electric,2015 Q4,410,2015, Q4
140,Electric,2015 Q3,3511,2015, Q3
141,Diesel-Electric (Plug-In),2015 Q3,31,2015, Q3
142,Petrol-Electric (Plug-In),2015 Q3,1465,2015, Q3
143,Electric,2015 Q3,353,2015, Q3
144,Electric,2015 Q2,3187,2015, Q2
145,Diesel-Electric (Plug-In),2015 Q2,24,2015, Q2
146,Petrol-Electric (Plug-In),2015 Q2,1186,2015, Q2
147,Electric,2015 Q2,291,2015, Q2
148,Electric,2015 Q1,2888,2015, Q1
149,Diesel-Electric (Plug-In),2015 Q1,22,2015, Q1
150,Petrol-Electric (Plug-In),2015 Q1,975,2015, Q1
151,Electric,2015 Q1,239,2015, Q1
152,Electric,2014 Q4,2587,2014, Q4
153,Diesel-Electric (Plug-In),2014 Q4,19,2014, Q4
154,Petrol-Electric (Plug-In),2014 Q4,695,2014, Q4
155,Electric,2014 Q4,175,2014, Q4
156,Electric,2014 Q3,2389,2014, Q3
157,Diesel-Electric (Plug-In),2014 Q3,17,2014, Q3
158,Petrol-Electric (Plug-In),2014 Q3,509,2014, Q3
